#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         606     -5.5931    -5.47558  0.00396785
         607    -5.59212    -5.47578  0.00396595
         608     -5.5914    -5.47597  0.00396399
         609    -5.59034    -5.47615  0.00396192
         610    -5.58954    -5.47634  0.00395979
         611    -5.58872    -5.47652  0.00395757
         612    -5.58786    -5.47671  0.00395529
         613    -5.58683    -5.47689  0.00395291
         614    -5.58562    -5.47706  0.00395044
         615    -5.58424    -5.47724  0.00394786
         616    -5.58329    -5.47741   0.0039452
         617    -5.58202    -5.47758  0.00394245
         618    -5.58074    -5.47775   0.0039396
         619     -5.5796    -5.47791  0.00393667
         620    -5.57875    -5.47807  0.00393368
         621    -5.57759    -5.47823  0.00393061
         622    -5.57643    -5.47839  0.00392746
         623    -5.57528    -5.47855  0.00392423
         624    -5.57413     -5.4787  0.00392093
         625    -5.57313    -5.47885  0.00391757
         626    -5.57185      -5.479  0.00391413
         627    -5.57073    -5.47915  0.00391062
         628    -5.56948    -5.47929  0.00390703
         629    -5.56825    -5.47943  0.00390338
         630    -5.56719    -5.47957  0.00389967
         631    -5.56617    -5.47971  0.00389591
         632    -5.56548    -5.47984   0.0038921
         633    -5.56422    -5.47998  0.00388824
         634    -5.56315    -5.48011  0.00388432
         635    -5.56228    -5.48024  0.00388036
         636    -5.56146    -5.48036  0.00387635
         637    -5.56068    -5.48049  0.00387232
         638    -5.55951    -5.48061  0.00386823
         639      -5.559    -5.48074  0.00386412
         640     -5.5581    -5.48086  0.00385997
         641    -5.55742    -5.48098   0.0038558
         642    -5.55695     -5.4811  0.00385161
         643    -5.55656    -5.48121  0.00384741
         644    -5.55624    -5.48133   0.0038432
         645     -5.5557    -5.48144  0.00383897
         646    -5.55554    -5.48156  0.00383474
         647    -5.55546    -5.48167  0.00383051
         648    -5.55546    -5.48179  0.00382629
         649    -5.55571     -5.4819  0.00382209
         650    -5.55589    -5.48202   0.0038179
         651    -5.55586    -5.48213  0.00381372
         652    -5.55622    -5.48224  0.00380957
         653    -5.55698    -5.48236  0.00380545
         654    -5.55798    -5.48247  0.00380139
         655    -5.55893    -5.48259  0.00379738
         656    -5.55982    -5.48271  0.00379342
         657    -5.56065    -5.48283   0.0037895
         658    -5.56142    -5.48294  0.00378562
         659    -5.56258    -5.48307   0.0037818
