#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         469     1.60722     1.69362  0.00466768
         470     1.60727     1.69344  0.00466137
         471     1.60734     1.69326  0.00465505
         472     1.60744     1.69308  0.00464874
         473     1.60756      1.6929  0.00464243
         474      1.6077     1.69272  0.00463611
         475     1.60787     1.69254  0.00462979
         476     1.60806     1.69236  0.00462346
         477     1.60828     1.69218  0.00461713
         478     1.60854     1.69201  0.00461079
         479     1.60883     1.69183  0.00460443
         480     1.60915     1.69166  0.00459806
         481      1.6095     1.69149  0.00459167
         482     1.60989     1.69132  0.00458526
         483     1.61033     1.69115  0.00457884
         484      1.6108     1.69099  0.00457238
         485     1.61132     1.69082  0.00456591
         486     1.61188     1.69066   0.0045594
         487     1.61249      1.6905  0.00455286
         488     1.61314     1.69034  0.00454629
         489     1.61385     1.69019  0.00453969
         490     1.61461     1.69003  0.00453304
         491     1.61542     1.68988  0.00452635
         492     1.61629     1.68973  0.00451963
         493     1.61722     1.68958  0.00451285
         494     1.61821     1.68944  0.00450603
         495     1.61925      1.6893  0.00449915
         496     1.62036     1.68916  0.00449223
         497     1.62153     1.68902  0.00448525
         498     1.62277     1.68889  0.00447822
         499     1.62407     1.68876  0.00447113
         500     1.62543     1.68863  0.00446398
         501     1.62687     1.68851  0.00445677
         502     1.62837     1.68839   0.0044495
         503     1.62994     1.68827  0.00444217
         504     1.63157     1.68816  0.00443478
         505     1.63328     1.68805  0.00442733
         506     1.63505     1.68795  0.00441982
         507     1.63689     1.68785  0.00441225
         508      1.6388     1.68775  0.00440462
         509     1.64077     1.68766  0.00439694
         510     1.64282     1.68757  0.00438919
         511     1.64492     1.68749   0.0043814
         512      1.6471     1.68741  0.00437355
         513     1.64934     1.68733  0.00436565
         514     1.65164     1.68726  0.00435771
         515       1.654      1.6872  0.00434973
         516     1.65643     1.68714  0.00434171
         517     1.65891     1.68708  0.00433365
         518     1.66146     1.68704  0.00432557
         519     1.66405     1.68699  0.00431746
         520      1.6667     1.68695  0.00430934
         521     1.66941     1.68692   0.0043012
         522     1.67215     1.68689  0.00429305
         523     1.67495     1.68687   0.0042849
         524     1.67779     1.68685  0.00427676
         525     1.68067     1.68684  0.00426863
         526     1.68359     1.68683  0.00426052
         527     1.68654     1.68683  0.00425243
         528     1.68953     1.68684  0.00424438
         529     1.69254     1.68685  0.00423637
         530     1.69559     1.68686  0.00422841
         531     1.69865     1.68689  0.00422051
         532     1.70174     1.68691  0.00421267
         533     1.70484     1.68695   0.0042049
         534     1.70795     1.68699  0.00419721
         535     1.71108     1.68703   0.0041896
         536     1.71422     1.68708  0.00418209
         537     1.71736     1.68714  0.00417469
         538      1.7205      1.6872  0.00416739
         539     1.72363     1.68727   0.0041602
         540     1.72677     1.68734  0.00415314
         541     1.72989     1.68742  0.00414621
         542       1.733      1.6875  0.00413941
         543     1.73609     1.68759  0.00413276
         544     1.73917     1.68769  0.00412625
         545     1.74222     1.68779  0.00411989
         546     1.74525     1.68789  0.00411369
         547     1.74826       1.688  0.00410765
         548     1.75123     1.68812  0.00410177
         549     1.75417     1.68824  0.00409606
         550     1.75707     1.68837  0.00409053
         551     1.75993      1.6885  0.00408517
         552     1.76275     1.68863  0.00407998
         553     1.76553     1.68877  0.00407497
         554     1.76826     1.68891  0.00407014
         555     1.77095     1.68906  0.00406549
         556     1.77358     1.68921  0.00406102
         557     1.77616     1.68937  0.00405673
         558     1.77868     1.68953  0.00405261
         559     1.78115     1.68969  0.00404868
         560     1.78356     1.68986  0.00404492
         561      1.7859     1.69003  0.00404133
         562     1.78818     1.69021  0.00403791
         563      1.7904     1.69038  0.00403466
         564     1.79255     1.69056  0.00403157
         565     1.79464     1.69075  0.00402864
         566     1.79666     1.69094  0.00402586
         567      1.7986     1.69113  0.00402324
         568     1.80048     1.69132  0.00402076
         569     1.80228     1.69151  0.00401842
         570     1.80401     1.69171  0.00401621
         571     1.80566     1.69191  0.00401413
         572     1.80724     1.69211  0.00401218
         573     1.80875     1.69232  0.00401034
         574     1.81018     1.69252   0.0040086
         575     1.81153     1.69273  0.00400697
         576      1.8128     1.69294  0.00400543
         577       1.814     1.69315  0.00400398
         578     1.81512     1.69336  0.00400261
         579     1.81617     1.69357  0.00400132
         580     1.81713     1.69378  0.00400008
         581     1.81802       1.694  0.00399891
         582     1.81883     1.69421  0.00399779
