#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         589     1.21493     1.13048   0.0026605
         590     1.21508     1.13062  0.00265985
         591     1.21517     1.13077  0.00265919
         592     1.21522     1.13091  0.00265853
         593     1.21522     1.13105  0.00265784
         594     1.21518     1.13119  0.00265714
         595     1.21509     1.13133  0.00265641
         596     1.21496     1.13147  0.00265566
         597     1.21479     1.13161  0.00265487
         598     1.21458     1.13175  0.00265406
         599     1.21432     1.13189   0.0026532
         600     1.21403     1.13203  0.00265231
         601      1.2137     1.13216  0.00265138
         602     1.21334      1.1323   0.0026504
         603     1.21294     1.13243  0.00264938
         604     1.21251     1.13256  0.00264831
         605     1.21204      1.1327  0.00264718
         606     1.21154     1.13283  0.00264601
         607     1.21101     1.13295  0.00264479
         608     1.21046     1.13308  0.00264351
         609     1.20988     1.13321  0.00264217
         610     1.20927     1.13333  0.00264078
         611     1.20864     1.13346  0.00263933
         612     1.20799     1.13358  0.00263783
         613     1.20732      1.1337  0.00263627
         614     1.20663     1.13382  0.00263465
         615     1.20593     1.13393  0.00263297
         616     1.20521     1.13405  0.00263124
         617     1.20447     1.13416  0.00262945
         618     1.20373     1.13428   0.0026276
         619     1.20298     1.13439   0.0026257
         620     1.20221      1.1345  0.00262374
         621     1.20145      1.1346  0.00262173
         622     1.20068     1.13471  0.00261967
         623      1.1999     1.13482  0.00261755
         624     1.19913     1.13492  0.00261539
         625     1.19837     1.13502  0.00261317
         626      1.1976     1.13512  0.00261091
         627     1.19685     1.13522   0.0026086
         628      1.1961     1.13532  0.00260625
         629     1.19537     1.13541  0.00260385
         630     1.19465      1.1355  0.00260142
         631     1.19395      1.1356  0.00259894
         632     1.19326     1.13569  0.00259643
         633      1.1926     1.13578  0.00259389
         634     1.19197     1.13587  0.00259131
         635     1.19136     1.13595   0.0025887
         636     1.19077     1.13604  0.00258606
         637     1.19022     1.13613   0.0025834
         638     1.18971     1.13621  0.00258072
         639     1.18923     1.13629  0.00257801
         640     1.18879     1.13637  0.00257529
         641     1.18839     1.13646  0.00257255
         642     1.18803     1.13654   0.0025698
         643     1.18773     1.13662  0.00256703
         644     1.18746      1.1367  0.00256426
         645     1.18725     1.13677  0.00256148
         646     1.18709     1.13685   0.0025587
         647     1.18698     1.13693  0.00255592
         648     1.18693     1.13701  0.00255314
         649     1.18693     1.13708  0.00255037
         650       1.187     1.13716   0.0025476
         651     1.18712     1.13724  0.00254484
         652      1.1873     1.13731  0.00254209
         653     1.18754     1.13739  0.00253936
         654     1.18785     1.13747  0.00253665
         655     1.18821     1.13754  0.00253396
         656     1.18864     1.13762   0.0025313
         657     1.18913      1.1377  0.00252866
         658     1.18969     1.13778  0.00252605
         659      1.1903     1.13786  0.00252347
         660     1.19098     1.13794  0.00252093
         661     1.19171     1.13802  0.00251843
         662      1.1925      1.1381  0.00251597
         663     1.19335     1.13819  0.00251356
         664     1.19425     1.13827  0.00251119
         665      1.1952     1.13836  0.00250887
         666      1.1962     1.13844  0.00250661
         667     1.19724     1.13853   0.0025044
         668     1.19833     1.13862  0.00250225
         669     1.19946     1.13871  0.00250016
         670     1.20063     1.13881  0.00249814
         671     1.20183      1.1389  0.00249618
         672     1.20306     1.13899  0.00249429
         673     1.20432     1.13909  0.00249247
         674      1.2056     1.13919  0.00249072
         675     1.20689     1.13929  0.00248905
         676     1.20821     1.13939  0.00248746
         677     1.20953      1.1395  0.00248594
         678     1.21086      1.1396   0.0024845
         679     1.21219     1.13971  0.00248314
         680     1.21351     1.13982  0.00248186
         681     1.21484     1.13993  0.00248066
         682     1.21615     1.14004  0.00247954
         683     1.21744     1.14015   0.0024785
         684     1.21872     1.14027  0.00247753
         685     1.21997     1.14038  0.00247665
         686     1.22119      1.1405  0.00247584
         687     1.22239     1.14062   0.0024751
         688     1.22355     1.14074  0.00247444
         689     1.22466     1.14086  0.00247384
         690     1.22574     1.14099  0.00247331
         691     1.22677     1.14111  0.00247285
         692     1.22775     1.14123  0.00247244
         693     1.22867     1.14136  0.00247209
         694     1.22954     1.14149  0.00247179
         695     1.23035     1.14162  0.00247154
         696      1.2311     1.14174  0.00247133
         697     1.23178     1.14187  0.00247116
         698      1.2324       1.142  0.00247102
         699     1.23294     1.14213  0.00247091
         700     1.23342     1.14226  0.00247081
         701     1.23382     1.14239  0.00247074
         702     1.23414     1.14253  0.00247067
         703     1.23438     1.14266  0.00247061
         704     1.23455     1.14279  0.00247055
         705     1.23463     1.14292  0.00247048
         706     1.23464     1.14305  0.00247039
         707     1.23455     1.14318  0.00247029
         708     1.23439      1.1433  0.00247015
         709     1.23414     1.14343  0.00246999
         710      1.2338     1.14356  0.00246979
         711     1.23338     1.14369  0.00246954
         712     1.23287     1.14381  0.00246925
         713     1.23227     1.14394   0.0024689
         714     1.23159     1.14406  0.00246849
         715     1.23082     1.14418  0.00246802
         716     1.22997      1.1443  0.00246748
         717     1.22903     1.14442  0.00246687
         718     1.22801     1.14453  0.00246618
         719      1.2269     1.14465  0.00246541
         720     1.22571     1.14476  0.00246455
         721     1.22444     1.14487  0.00246361
         722     1.22309     1.14498  0.00246258
         723     1.22166     1.14509  0.00246145
         724     1.22015     1.14519  0.00246024
         725     1.21856     1.14529  0.00245892
         726      1.2169     1.14539  0.00245752
