#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         526     -5.4457    -5.44844 0.000140116
         527    -5.44536    -5.44844 0.000139973
         528    -5.44534    -5.44843  0.00013983
         529      -5.445    -5.44843 0.000139717
         530    -5.44499    -5.44842 0.000139603
         531     -5.4453    -5.44841 0.000139464
         532    -5.44529    -5.44841 0.000139325
         533    -5.44561     -5.4484 0.000139163
         534    -5.44527     -5.4484 0.000139026
         535    -5.44527    -5.44839 0.000138889
         536    -5.44494    -5.44838 0.000138779
         537    -5.44461    -5.44838 0.000138698
         538    -5.44494    -5.44837 0.000138588
         539    -5.44526    -5.44837 0.000138451
         540    -5.44462    -5.44836 0.000138369
         541    -5.44462    -5.44835 0.000138285
         542    -5.44463    -5.44834   0.0001382
         543    -5.44464    -5.44834 0.000138114
         544    -5.44368    -5.44833 0.000138125
         545    -5.44337    -5.44832 0.000138171
         546    -5.44371    -5.44831 0.000138176
         547    -5.44373     -5.4483 0.000138177
         548    -5.44375     -5.4483 0.000138174
         549    -5.44377    -5.44829 0.000138168
         550    -5.44347    -5.44828 0.000138193
         551    -5.44383    -5.44827 0.000138178
         552    -5.44386    -5.44826 0.000138159
         553    -5.44357    -5.44825  0.00013817
         554    -5.44425    -5.44825 0.000138109
         555    -5.44299    -5.44824 0.000138184
         556    -5.44368    -5.44823 0.000138178
         557    -5.44373    -5.44822 0.000138166
         558    -5.44377    -5.44821 0.000138149
         559    -5.44349     -5.4482 0.000138159
         560    -5.44387     -5.4482 0.000138129
         561    -5.44489    -5.44819 0.000138008
         562    -5.44495    -5.44818 0.000137883
         563    -5.44565    -5.44818 0.000137712
         564    -5.44571    -5.44818 0.000137538
         565    -5.44576    -5.44817  0.00013736
         566     -5.4455    -5.44817 0.000137199
         567    -5.44524    -5.44816 0.000137054
         568    -5.44562    -5.44816 0.000136886
         569    -5.44471    -5.44815 0.000136779
         570     -5.4451    -5.44815 0.000136644
         571    -5.44516    -5.44814 0.000136504
         572    -5.44555    -5.44814  0.00013634
         573    -5.44529    -5.44813 0.000136193
         574      -5.446    -5.44813 0.000136006
         575    -5.44574    -5.44812 0.000135833
         576    -5.44581    -5.44812 0.000135656
         577    -5.44587    -5.44812 0.000135477
         578    -5.44528    -5.44811 0.000135331
         579    -5.44567    -5.44811 0.000135163
         580    -5.44573     -5.4481 0.000134993
         581    -5.44611     -5.4481 0.000134804
         582    -5.44681     -5.4481  0.00013459
         583    -5.44687    -5.44809 0.000134376
         584    -5.44692    -5.44809 0.000134161
         585    -5.44697    -5.44809 0.000133945
         586    -5.44702    -5.44809 0.000133729
         587    -5.44674    -5.44809 0.000133521
         588    -5.44679    -5.44808 0.000133312
         589    -5.44748    -5.44808  0.00013309
         590    -5.44752    -5.44808 0.000132868
         591    -5.44756    -5.44808 0.000132646
         592     -5.4476    -5.44808 0.000132424
         593    -5.44763    -5.44808 0.000132203
         594    -5.44767    -5.44808 0.000131982
         595    -5.44802    -5.44808 0.000131761
         596    -5.44805    -5.44808  0.00013154
         597    -5.44807    -5.44808 0.000131319
         598    -5.44777    -5.44808 0.000131101
         599    -5.44682    -5.44808 0.000130899
         600    -5.44587    -5.44807 0.000130732
         601    -5.44556    -5.44807 0.000130581
         602     -5.4459    -5.44806 0.000130414
         603    -5.44591    -5.44806 0.000130247
         604    -5.44624    -5.44806 0.000130066
         605    -5.44625    -5.44806 0.000129885
         606    -5.44626    -5.44805 0.000129704
         607    -5.44594    -5.44805 0.000129538
         608    -5.44594    -5.44805 0.000129371
         609    -5.44659    -5.44804 0.000129181
         610    -5.44659    -5.44804 0.000128991
         611    -5.44658    -5.44804 0.000128802
         612     -5.4469    -5.44804 0.000128605
         613    -5.44689    -5.44803 0.000128409
         614    -5.44689    -5.44803 0.000128213
         615     -5.4472    -5.44803 0.000128012
         616    -5.44719    -5.44803 0.000127811
         617    -5.44718    -5.44803 0.000127612
         618    -5.44685    -5.44803  0.00012742
         619    -5.44651    -5.44802 0.000127237
         620    -5.44617    -5.44802 0.000127067
         621    -5.44681    -5.44802 0.000126877
         622    -5.44647    -5.44802 0.000126698
         623    -5.44581    -5.44801 0.000126544
         624    -5.44677    -5.44801 0.000126357
         625    -5.44643    -5.44801  0.00012618
         626    -5.44641    -5.44801 0.000126004
         627     -5.4464      -5.448 0.000125829
         628    -5.44606      -5.448 0.000125667
         629    -5.44669      -5.448 0.000125485
         630    -5.44667      -5.448 0.000125303
         631    -5.44601    -5.44799 0.000125144
         632    -5.44664    -5.44799 0.000124965
         633    -5.44727    -5.44799 0.000124772
         634    -5.44726    -5.44799 0.000124581
         635    -5.44724    -5.44799  0.00012439
         636    -5.44723    -5.44799 0.000124201
         637    -5.44624    -5.44798 0.000124036
         638    -5.44655    -5.44798 0.000123862
         639    -5.44557    -5.44798 0.000123726
         640    -5.44588    -5.44797 0.000123576
         641    -5.44619    -5.44797 0.000123414
         642    -5.44617    -5.44797 0.000123254
         643    -5.44616    -5.44797 0.000123094
         644    -5.44615    -5.44796 0.000122936
         645    -5.44613    -5.44796 0.000122778
         646    -5.44644    -5.44796  0.00012261
         647    -5.44676    -5.44796 0.000122435
         648    -5.44675    -5.44795  0.00012226
         649    -5.44641    -5.44795 0.000122095
         650    -5.44608    -5.44795 0.000121941
         651    -5.44639    -5.44795 0.000121777
         652    -5.44671    -5.44794 0.000121605
         653    -5.44605    -5.44794 0.000121453
         654    -5.44572    -5.44794 0.000121315
         655    -5.44603    -5.44794 0.000121165
         656    -5.44635    -5.44793 0.000121005
         657    -5.44634    -5.44793 0.000120845
