#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         544    0.793607    0.813988  0.00193497
         545    0.792264    0.813948  0.00193183
         546    0.790931    0.813906  0.00192875
         547    0.789609    0.813861  0.00192573
         548      0.7883    0.813815  0.00192278
         549    0.787005    0.813766   0.0019199
         550    0.785725    0.813715  0.00191709
         551    0.784461    0.813662  0.00191434
         552    0.783217    0.813606  0.00191167
         553    0.781994    0.813549  0.00190907
         554    0.780792     0.81349  0.00190654
         555    0.779614    0.813429  0.00190408
         556    0.778462    0.813366  0.00190169
         557    0.777338    0.813302  0.00189938
         558    0.776241    0.813235  0.00189713
         559    0.775176    0.813167  0.00189496
         560    0.774141    0.813097  0.00189286
         561    0.773141    0.813026  0.00189082
         562    0.772177    0.812953  0.00188886
         563    0.771248    0.812879  0.00188695
         564    0.770355    0.812804  0.00188511
         565      0.7695    0.812727  0.00188333
         566    0.768684     0.81265  0.00188161
         567    0.767908    0.812571  0.00187995
         568    0.767172    0.812491  0.00187834
         569    0.766477     0.81241  0.00187678
         570    0.765823    0.812328  0.00187526
         571    0.765211    0.812246  0.00187379
         572    0.764642    0.812162  0.00187237
         573    0.764116    0.812078  0.00187097
         574    0.763633    0.811994  0.00186962
         575    0.763192    0.811909  0.00186829
         576    0.762795    0.811824  0.00186699
         577    0.762439    0.811738  0.00186572
         578    0.762126    0.811653  0.00186446
         579    0.761853    0.811567  0.00186323
         580    0.761621     0.81148    0.001862
         581    0.761427    0.811394  0.00186079
         582    0.761272    0.811308  0.00185958
         583    0.761154    0.811222  0.00185838
         584    0.761073    0.811136  0.00185718
         585    0.761027    0.811051  0.00185598
         586    0.761015    0.810965  0.00185478
         587    0.761035     0.81088  0.00185357
         588    0.761088    0.810795  0.00185235
         589     0.76117    0.810711  0.00185112
         590    0.761282    0.810627  0.00184988
         591     0.76142    0.810544  0.00184862
         592    0.761585    0.810461  0.00184735
         593    0.761773    0.810379  0.00184605
         594    0.761986    0.810298  0.00184474
         595    0.762219    0.810217  0.00184341
         596    0.762473    0.810137  0.00184206
         597    0.762746    0.810058  0.00184068
         598    0.763034    0.809979  0.00183928
         599    0.763337    0.809901  0.00183786
         600    0.763654    0.809824  0.00183641
         601    0.763985    0.809748  0.00183494
         602    0.764326    0.809672  0.00183344
         603    0.764678    0.809598  0.00183192
         604    0.765037    0.809524  0.00183037
         605    0.765402    0.809451   0.0018288
         606    0.765772    0.809379   0.0018272
         607    0.766145    0.809308  0.00182558
         608    0.766521    0.809237  0.00182393
         609    0.766897    0.809168  0.00182226
         610    0.767273    0.809099  0.00182057
         611    0.767649    0.809031  0.00181885
         612    0.768022    0.808964  0.00181711
         613    0.768392    0.808898  0.00181535
